review_id,original_id,page,position_on_page,sentence,option_A_original_version,option_A_original_file,option_B_original_version,option_B_original_file,option_A_sequence,option_B_sequence,option_A_risk,option_B_risk,option_A_sensitivity,option_B_sensitivity
item_091,ex_091,10,1,A student said someone keeps touching their body without permission.,Version A,gallery.html,Version B,gallery(1).html,Person [HIGH-RISK] | touch [HIGH-RISK] | body [HIGH-RISK] | No [HIGH-RISK],touching intimate female [HIGH-RISK] | No [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_092,ex_092,10,2,A student reported that a friend is talking about suicide.,Version B,gallery(1).html,Version A,gallery.html,friend [HIGH-RISK] | to cut oneself [HIGH-RISK],friend [HIGH-RISK] | talk [HIGH-RISK] | suicide 1 [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_093,ex_093,10,3,A student said they feel panic and cannot stay safe alone.,Version A,gallery.html,Version B,gallery(1).html,help [HIGH-RISK] | fire stay calm [HIGH-RISK] | alone 1 [HIGH-RISK],sad [HIGH-RISK] | alone 1 [HIGH-RISK] | I need help [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_094,ex_094,10,4,A student reported coercive sexual language in a group chat.,Version B,gallery(1).html,Version A,gallery.html,medical report [HIGH-RISK] | female lawyer [HIGH-RISK] | group conversation [HIGH-RISK],student [HIGH-RISK] | medical report [HIGH-RISK] | understand language [HIGH-RISK] | chat [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_095,ex_095,10,5,A student said they are afraid of a specific adult.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | ashamed 4 [HIGH-RISK] | male [HIGH-RISK],student [HIGH-RISK] | ashamed 4 [HIGH-RISK] | adult [HIGH-RISK],high,medium,high_risk_support,high_risk_support
item_096,ex_096,10,6,A student wrote that they are being blackmailed with images.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | to give money to beggars 1 [HIGH-RISK] | write [HIGH-RISK],student [HIGH-RISK] | to give money to beggars 1 [HIGH-RISK] | write [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_097,ex_097,10,7,A student reported threats related to their identity.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | match [HIGH-RISK] | body [HIGH-RISK],student [HIGH-RISK] | medical report [HIGH-RISK] | break [HIGH-RISK] | body [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_098,ex_098,10,8,A student said they were forced to hide an injury.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | help [HIGH-RISK] | help [HIGH-RISK] | injury [HIGH-RISK],student [HIGH-RISK] | counselor [HIGH-RISK] | help [HIGH-RISK] | injury [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_099,ex_099,10,9,A student said they are scared because someone knows where they live.,Version A,gallery.html,Version B,gallery(1).html,ashamed 4 [HIGH-RISK] | angry at someone [HIGH-RISK] | to know [HIGH-RISK] | supported employment where [HIGH-RISK],ashamed 4 [HIGH-RISK] | angry at someone [HIGH-RISK] | address book [HIGH-RISK] | supported employment where [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_100,ex_100,10,10,A student reported an emergency and asked for immediate adult help.,Version B,gallery(1).html,Version A,gallery.html,help [HIGH-RISK] | help [HIGH-RISK] | male [HIGH-RISK] | now [HIGH-RISK],emergency exit [HIGH-RISK] | date [HIGH-RISK] | adult [HIGH-RISK],high,high,high_risk_support,high_risk_support
